Country,EducationLevel,YearsOfExperience,Salary
Greece,Less than Bachelor's degree,3.0,29000.0
Taiwan,Less than Bachelor's degree,1.0,17295.0
France,Master's degree,16.0,69814.0
Austria,Master's degree,14.0,48333.0
India,Bachelor's degree,2.0,21534.0
Netherlands,Less than Bachelor's degree,14.0,48999.0
India,Master's degree,8.0,29610.0
Netherlands,Bachelor's degree,6.0,85597.0
Italy,Master's degree,5.0,73036.0
Austria,Master's degree,2.0,53703.0
Netherlands,Less than Bachelor's degree,8.0,91295.0
Ireland,Bachelor's degree,6.0,102036.0
Netherlands,Bachelor's degree,3.0,50266.0
Germany,Master's degree,2.0,70888.0
Netherlands,Master's degree,6.0,86999.0
United States of America,Bachelor's degree,6.0,24000.0
Switzerland,Less than Bachelor's degree,4.0,72421.0
Germany,Bachelor's degree,7.0,51555.0
Czech Republic,Master's degree,4.0,41263.0
Bulgaria,Bachelor's degree,11.0,54923.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,3.0,53503.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,4.0,65605.0
Germany,Less than Bachelor's degree,7.0,61570.0
Germany,Master's degree,3.0,26852.0
Netherlands,Bachelor's degree,11.0,104399.0
Netherlands,Master's degree,11.0,77332.0
Spain,Bachelor's degree,3.0,41888.0
Switzerland,Less than Bachelor's degree,10.0,100275.0
France,Bachelor's degree,0.0,15170.0
Netherlands,Bachelor's degree,9.0,66592.0
Germany,Less than Bachelor's degree,6.0,34907.0
France,Master's degree,18.0,118147.0
Finland,Bachelor's degree,7.0,59073.0
Other,Less than Bachelor's degree,28.0,55851.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,27.0,140127.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,9.0,53503.0
South Africa,Bachelor's degree,10.0,60265.0
Italy,Less than Bachelor's degree,11.0,64444.0
Netherlands,Master's degree,4.0,66592.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,26.0,101910.0
Austria,Upper than Master's degree,10.0,53703.0
Other,Master's degree,10.0,19479.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,2.0,66242.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,25.0,146496.0
France,Master's degree,3.0,55851.0
Austria,Less than Bachelor's degree,9.0,48333.0
China,Master's degree,3.0,60000.0
Sweden,Bachelor's degree,16.0,81077.0
Germany,Upper than Master's degree,7.0,61222.0
Germany,Master's degree,8.0,66592.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,27.0,82802.0
Russian Federation,Master's degree,1.0,16134.0
Russian Federation,Less than Bachelor's degree,5.0,40336.0
Turkey,Bachelor's degree,13.0,30914.0
Portugal,Master's degree,11.0,112239.0
Netherlands,Bachelor's degree,8.0,62639.0
Germany,Bachelor's degree,0.0,37592.0
Other,Bachelor's degree,2.0,13685.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,19.0,76433.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,1.0,50955.0
Spain,Master's degree,5.0,42962.0
Greece,Master's degree,10.0,49407.0
France,Master's degree,4.0,52629.0
Other,Bachelor's degree,9.0,49407.0
Israel,Less than Bachelor's degree,18.0,152191.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,2.0,191082.0
Germany,Master's degree,6.0,83777.0
Germany,Master's degree,8.0,102036.0
Switzerland,Master's degree,25.0,150413.0
Other,Less than Bachelor's degree,10.0,61222.0
Other,Less than Bachelor's degree,8.0,15130.0
Spain,Bachelor's degree,17.0,54777.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,11.0,89172.0
Poland,Master's degree,5.0,44544.0
Other,Master's degree,12.0,85925.0
India,Bachelor's degree,10.0,11963.0
France,Master's degree,5.0,85925.0
Italy,Less than Bachelor's degree,1.0,32222.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,9.0,91719.0
Slovakia,Master's degree,26.0,53703.0
Sweden,Master's degree,5.0,64670.0
France,Master's degree,4.0,128887.0
France,Master's degree,3.0,22555.0
Other,Master's degree,2.0,21200.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,17.0,56051.0
France,Less than Bachelor's degree,14.0,80555.0
Other,Bachelor's degree,0.0,12889.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,27.0,177069.0
Italy,Bachelor's degree,7.0,39740.0
Russian Federation,Master's degree,20.0,56022.0
Netherlands,Bachelor's degree,4.0,49192.0
Other,Bachelor's degree,2.0,25777.0
Israel,Bachelor's degree,3.0,97143.0
Norway,Bachelor's degree,3.0,50539.0
Other,Bachelor's degree,3.0,14168.0
Russian Federation,Upper than Master's degree,24.0,44818.0
Germany,Bachelor's degree,15.0,102036.0
Germany,Less than Bachelor's degree,8.0,53703.0
Germany,Bachelor's degree,17.0,67021.0
Portugal,Bachelor's degree,4.0,53703.0
Netherlands,Bachelor's degree,8.0,91295.0
Austria,Bachelor's degree,15.0,98814.0
Spain,Master's degree,15.0,94517.0
Other,Less than Bachelor's degree,6.0,12642.0
Other,Less than Bachelor's degree,5.0,38129.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,5.0,70063.0
Germany,Master's degree,10.0,107406.0
India,Bachelor's degree,0.0,16749.0
Spain,Master's degree,6.0,43285.0
Switzerland,Bachelor's degree,11.0,133700.0
Norway,Less than Bachelor's degree,17.0,65514.0
Germany,Master's degree,8.0,57754.0
Other,Bachelor's degree,5.0,56400.0
Italy,Bachelor's degree,2.0,24703.0
Ukraine,Bachelor's degree,5.0,67943.0
Sweden,Upper than Master's degree,7.0,11923.0
Finland,Bachelor's degree,1.0,21481.0
Germany,Master's degree,24.0,13963.0
Sweden,Less than Bachelor's degree,31.0,180000.0
South Africa,Less than Bachelor's degree,9.0,55273.0
Hungary,Less than Bachelor's degree,6.0,27175.0
France,Master's degree,22.0,70888.0
Norway,Master's degree,6.0,74873.0
Portugal,Master's degree,11.0,96666.0
Other,Bachelor's degree,1.0,85925.0
Germany,Less than Bachelor's degree,8.0,91295.0
Spain,Bachelor's degree,13.0,73036.0
Germany,Less than Bachelor's degree,23.0,91295.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,13.0,50955.0
Ukraine,Master's degree,5.0,72000.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,26.0,50955.0
Italy,Less than Bachelor's degree,23.0,64444.0
Greece,Master's degree,16.0,64444.0
Romania,Less than Bachelor's degree,2.0,23735.0
Greece,Bachelor's degree,11.0,48333.0
Spain,Less than Bachelor's degree,2.0,30074.0
Denmark,Bachelor's degree,6.0,84961.0
Bulgaria,Bachelor's degree,8.0,41192.0
Russian Federation,Upper than Master's degree,6.0,22409.0
Pakistan,Bachelor's degree,4.0,10767.0
Spain,Upper than Master's degree,16.0,64444.0
Germany,Bachelor's degree,1.0,64444.0
Brazil,Bachelor's degree,22.0,44757.0
United States of America,Less than Bachelor's degree,4.0,103000.0
Switzerland,Less than Bachelor's degree,27.0,189409.0
Poland,Master's degree,13.0,56917.0
Spain,Less than Bachelor's degree,2.0,24166.0
Slovakia,Upper than Master's degree,15.0,44037.0
Germany,Bachelor's degree,30.0,75184.0
Germany,Less than Bachelor's degree,0.0,10259.0
Sweden,Master's degree,20.0,60092.0
France,Master's degree,17.0,89147.0
Sweden,Master's degree,28.0,83556.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,8.0,124840.0
Germany,Master's degree,27.0,107406.0
Netherlands,Less than Bachelor's degree,15.0,80555.0
Spain,Bachelor's degree,15.0,59073.0
Austria,Less than Bachelor's degree,2.0,64444.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,1.0,30573.0
Other,Bachelor's degree,10.0,130000.0
Other,Master's degree,10.0,161109.0
Germany,Upper than Master's degree,6.0,64444.0
Other,Master's degree,9.0,128887.0
Netherlands,Master's degree,2.0,64444.0
South Africa,Less than Bachelor's degree,20.0,120000.0
Sweden,Upper than Master's degree,21.0,53797.0
Other,Bachelor's degree,7.0,20140.0
Czech Republic,Bachelor's degree,11.0,78183.0
Austria,Less than Bachelor's degree,7.0,62296.0
France,Master's degree,11.0,34370.0
France,Master's degree,0.0,46722.0
Russian Federation,Bachelor's degree,3.0,31978.0
Poland,Master's degree,13.0,61866.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,3.0,66242.0
Austria,Master's degree,26.0,85925.0
Denmark,Master's degree,6.0,118082.0
Other,Bachelor's degree,8.0,50400.0
Other,Bachelor's degree,12.0,24918.0
Greece,Less than Bachelor's degree,2.0,20364.0
South Africa,Bachelor's degree,11.0,36697.0
Germany,Less than Bachelor's degree,10.0,10741.0
Spain,Master's degree,3.0,40814.0
Germany,Less than Bachelor's degree,0.0,38666.0
Other,Bachelor's degree,6.0,65343.0
United States of America,Less than Bachelor's degree,3.0,76000.0
Greece,Bachelor's degree,11.0,143924.0
Belgium,Master's degree,0.0,53703.0
Germany,Less than Bachelor's degree,5.0,62296.0
Portugal,Less than Bachelor's degree,5.0,15037.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,2.0,61146.0
France,Master's degree,10.0,48977.0
Other,Bachelor's degree,4.0,55933.0
South Africa,Bachelor's degree,11.0,48428.0
Hungary,Master's degree,0.0,21197.0
Austria,Less than Bachelor's degree,2.0,54777.0
Germany,Bachelor's degree,1.0,45111.0
Germany,Bachelor's degree,23.0,93443.0
Switzerland,Master's degree,18.0,124787.0
Russian Federation,Bachelor's degree,5.0,54053.0
Germany,Master's degree,2.0,91295.0
Other,Master's degree,4.0,29546.0
Germany,Master's degree,17.0,48333.0
Czech Republic,Less than Bachelor's degree,1.0,21717.0
Ukraine,Master's degree,8.0,36532.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,24.0,191082.0
Germany,Less than Bachelor's degree,30.0,128887.0
Ireland,Master's degree,20.0,157887.0
Belgium,Master's degree,5.0,66592.0
Poland,Bachelor's degree,2.0,21777.0
France,Upper than Master's degree,24.0,128887.0
New Zealand,Less than Bachelor's degree,20.0,49165.0
Other,Less than Bachelor's degree,6.0,19903.0
Sweden,Less than Bachelor's degree,6.0,76307.0
Ukraine,Master's degree,6.0,62000.0
United States of America,Upper than Master's degree,25.0,95000.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,3.0,40764.0
Brazil,Less than Bachelor's degree,6.0,70368.0
Poland,Bachelor's degree,12.0,61866.0
Germany,Master's degree,20.0,85925.0
Canada,Master's degree,30.0,167194.0
Switzerland,Bachelor's degree,10.0,104732.0
Spain,Less than Bachelor's degree,2.0,25777.0
France,Master's degree,0.0,40814.0
Other,Master's degree,0.0,20622.0
Switzerland,Bachelor's degree,8.0,149299.0
Netherlands,Less than Bachelor's degree,1.0,32222.0
France,Master's degree,28.0,125665.0
Germany,Master's degree,10.0,109984.0
France,Less than Bachelor's degree,6.0,30074.0
Germany,Less than Bachelor's degree,8.0,48333.0
Netherlands,Bachelor's degree,3.0,53703.0
Switzerland,Bachelor's degree,10.0,121444.0
Czech Republic,Master's degree,20.0,33879.0
Greece,Master's degree,5.0,22555.0
Bulgaria,Less than Bachelor's degree,2.0,12083.0
India,Master's degree,12.0,31105.0
Serbia,Master's degree,8.0,90221.0
United States of America,Master's degree,10.0,104000.0
Poland,Bachelor's degree,7.0,19302.0
Germany,Less than Bachelor's degree,9.0,91295.0
Pakistan,Bachelor's degree,8.0,13421.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,15.0,104458.0
Germany,Master's degree,3.0,95592.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,20.0,89172.0
Finland,Bachelor's degree,5.0,57248.0
Japan,Master's degree,20.0,63644.0
Spain,Less than Bachelor's degree,25.0,59073.0
Germany,Less than Bachelor's degree,21.0,42962.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,18.0,72898.0
Brazil,Bachelor's degree,15.0,120379.0
Norway,Master's degree,6.0,75434.0
United States of America,Less than Bachelor's degree,5.0,100000.0
Netherlands,Bachelor's degree,16.0,139628.0
Greece,Master's degree,18.0,85925.0
Spain,Upper than Master's degree,5.0,34907.0
France,Master's degree,10.0,82703.0
Austria,Master's degree,6.0,64444.0
France,Upper than Master's degree,2.0,32222.0
Italy,Master's degree,23.0,59073.0
Germany,Bachelor's degree,6.0,161109.0
Canada,Less than Bachelor's degree,10.0,55247.0
United States of America,Less than Bachelor's degree,11.0,98000.0
Ukraine,Master's degree,2.0,38000.0
Slovakia,Less than Bachelor's degree,13.0,107406.0
Netherlands,Master's degree,4.0,32222.0
Switzerland,Bachelor's degree,10.0,144842.0
Germany,Less than Bachelor's degree,14.0,107406.0
United States of America,Bachelor's degree,15.0,110000.0
Bulgaria,Bachelor's degree,14.0,112592.0
United States of America,Bachelor's degree,1.0,140000.0
Other,Bachelor's degree,3.0,28801.0
Other,Less than Bachelor's degree,0.0,26852.0
France,Master's degree,5.0,34370.0
Brazil,Bachelor's degree,14.0,25735.0
Austria,Master's degree,0.0,57999.0
Brazil,Bachelor's degree,8.0,14919.0
India,Master's degree,8.0,35890.0
Hungary,Master's degree,19.0,43481.0
Brazil,Less than Bachelor's degree,2.0,10070.0
Israel,Bachelor's degree,8.0,155429.0
Switzerland,Less than Bachelor's degree,21.0,133700.0
Sweden,Bachelor's degree,13.0,71538.0
Germany,Upper than Master's degree,4.0,20210.0
Canada,Bachelor's degree,30.0,87231.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,9.0,69426.0
Other,Less than Bachelor's degree,7.0,68169.0
Germany,Upper than Master's degree,25.0,45111.0
Germany,Less than Bachelor's degree,4.0,45111.0
Denmark,Upper than Master's degree,10.0,43201.0
Portugal,Bachelor's degree,2.0,23629.0
Slovakia,Less than Bachelor's degree,7.0,45111.0
Sweden,Master's degree,3.0,52461.0
Sweden,Less than Bachelor's degree,5.0,40863.0
Ireland,Bachelor's degree,6.0,53703.0
Switzerland,Master's degree,12.0,122559.0
Argentina,Less than Bachelor's degree,2.0,14400.0
Other,Less than Bachelor's degree,4.0,94748.0
Austria,Master's degree,7.0,63380.0
Germany,Master's degree,6.0,42962.0
Argentina,Less than Bachelor's degree,1.0,20000.0
India,Master's degree,9.0,21534.0
"Iran, Islamic Republic of...",Bachelor's degree,5.0,15000.0
Russian Federation,Less than Bachelor's degree,6.0,84034.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,20.0,140127.0
France,Master's degree,1.0,37592.0
Ukraine,Bachelor's degree,1.0,14040.0
Other,Bachelor's degree,5.0,18000.0
Poland,Bachelor's degree,10.0,90000.0
Hungary,Master's degree,7.0,47557.0
Italy,Less than Bachelor's degree,6.0,42962.0
Poland,Master's degree,20.0,96511.0
Brazil,Master's degree,17.0,63033.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,14.0,76433.0
Greece,Bachelor's degree,5.0,29000.0
United States of America,Bachelor's degree,13.0,175000.0
United States of America,Master's degree,14.0,160000.0
France,Upper than Master's degree,12.0,48333.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,2.0,98089.0
Germany,Upper than Master's degree,3.0,20944.0
Germany,Master's degree,26.0,96666.0
Bulgaria,Bachelor's degree,10.0,46135.0
Bulgaria,Bachelor's degree,8.0,61513.0
Czech Republic,Less than Bachelor's degree,3.0,28667.0
United States of America,Bachelor's degree,5.0,126500.0
United States of America,Less than Bachelor's degree,12.0,130000.0
Spain,Master's degree,4.0,57999.0
Other,Upper than Master's degree,6.0,45111.0
Czech Republic,Bachelor's degree,2.0,41697.0
Brazil,Less than Bachelor's degree,14.0,52216.0
Canada,Bachelor's degree,3.0,45433.0
Other,Bachelor's degree,5.0,39503.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,2.0,46917.0
India,Master's degree,6.0,11963.0
Germany,Less than Bachelor's degree,10.0,85925.0
Switzerland,Bachelor's degree,8.0,111417.0
Italy,Bachelor's degree,12.0,47259.0
Canada,Less than Bachelor's degree,3.0,59608.0
Germany,Master's degree,20.0,118147.0
Poland,Master's degree,2.0,11850.0
Spain,Less than Bachelor's degree,9.0,37592.0
Serbia,Bachelor's degree,3.0,36884.0
Belgium,Master's degree,24.0,161109.0
Poland,Master's degree,8.0,56917.0
Spain,Bachelor's degree,7.0,42962.0
France,Master's degree,9.0,48333.0
South Africa,Bachelor's degree,7.0,48428.0
United States of America,Bachelor's degree,1.0,70000.0
United States of America,Master's degree,13.0,89494.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,13.0,152865.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,12.0,108280.0
